"ID","date","link","text","score","value"
6865,"7/8/2011","/KimKardashian/status/89216495602761728","I got thru finally! Had to text our glam squad @robscheppy!!! LOL Khloe's about to take my call, she doesn't know I'm on the line! So funny!",-1,"Khloe"
6866,"7/8/2011","/KimKardashian/status/89214405216182272","How fab is @KhloeKardashian selling our KDash line on QVC! Tune in! http://twitpic.com/5muyzl",0,"Khloe"
6867,NA,NA,NA,NA,NA
6868,NA,NA,NA,NA,NA
6869,NA,NA,NA,NA,NA
6870,NA,NA,NA,NA,NA
6871,NA,NA,NA,NA,NA
6872,"7/6/2011","/KimKardashian/status/88718216351842304","Make sure you stay away from the 405 Fwy the weekend of July 16 & 17, it will be closed between the 10 Fwy and 101 Fwy North & South!",0,"North"
6873,NA,NA,NA,NA,NA
6874,NA,NA,NA,NA,NA
6875,"7/5/2011","/KimKardashian/status/88375536644141057","Yay! RT: @KhloeKardashian: Unbreakable is back in stock baby!!!!!! Buy it here: http://www.kardashianfragrance.com ",1,"Khloe"
6876,NA,NA,NA,NA,NA
6877,"7/5/2011","/KimKardashian/status/88349888299008000","I love you more RT @KhloeKardashian: I love you @KimKardashian",2,"Kim"
6877,"7/5/2011","/KimKardashian/status/88349888299008000","I love you more RT @KhloeKardashian: I love you @KimKardashian",2,"Khloe"
6878,NA,NA,NA,NA,NA
6879,NA,NA,NA,NA,NA
6880,"7/5/2011","/KimKardashian/status/88307339643465728","And Casey & Caylee RT @figosekas: @KimKardashian only GOD knows if he is guilty or not..",-1,"Kim"
6881,"7/5/2011","/KimKardashian/status/88307011019735040","Well the OJ verdict took 3 hrs RT @freemanlanette: @KimKardashian guilty, the jury has made their decision to fast for it to be not guilty!",0,"Kim"
6882,NA,NA,NA,NA,NA
6883,"7/4/2011","/KimKardashian/status/88086295238279169","Kind of obsessed with Lake Minnetonka! Boats & O's!!!   RT @KrisHumphries: Kaptain K. http://lockerz.com/s/117102136",0,"Kris"
6884,NA,NA,NA,NA,NA
6885,NA,NA,NA,NA,NA
6886,NA,NA,NA,NA,NA
6887,NA,NA,NA,NA,NA
6888,NA,NA,NA,NA,NA
6889,NA,NA,NA,NA,NA
6890,NA,NA,NA,NA,NA
6891,NA,NA,NA,NA,NA
6892,NA,NA,NA,NA,NA
6893,NA,NA,NA,NA,NA
6894,"7/1/2011","/KimKardashian/status/86851727168520192","Stay away from the 405 Fwy the weekend of July 16 & 17, it will be closed btwn the 10 Fwy and 101 Fwy North & South!",0,"North"
6895,NA,NA,NA,NA,NA
6896,NA,NA,NA,NA,NA
6897,"6/30/2011","/KimKardashian/status/86638002629124097","My moms AOL Account has been hacked. Why do people hack? So lame! So if anyone gets an email from my mom- NOT HER!",-2,"Kris"
6898,NA,NA,NA,NA,NA
6899,NA,NA,NA,NA,NA
6900,NA,NA,NA,NA,NA
6901,NA,NA,NA,NA,NA
6902,NA,NA,NA,NA,NA
6903,"6/30/2011","/KimKardashian/status/86332525932322816","So annoyed @KhloeKardashian didn't invite me to @rihanna #LoudTour tonight!!!! #NOTAGOODSISTER!!!!!",-1,"Khloe"
6904,NA,NA,NA,NA,NA
6905,NA,NA,NA,NA,NA
6906,"6/28/2011","/KimKardashian/status/85845508186320897","Here's @KourtneyKardash & I backstage in our new season of K-Dash for QVC! Tune in NOW! http://twitpic.com/5ibnu3",0,"Kourtney"
6907,NA,NA,NA,NA,NA
6908,"6/28/2011","/KimKardashian/status/85774021920169984","How cute is this old school pic I found of Kendall and Kylie!? http://bit.ly/mGunfY  They look so adorable!!!",2,"Kendall"
6908,"6/28/2011","/KimKardashian/status/85774021920169984","How cute is this old school pic I found of Kendall and Kylie!? http://bit.ly/mGunfY  They look so adorable!!!",2,"Kylie"
6909,NA,NA,NA,NA,NA
6910,"6/28/2011","/KimKardashian/status/85760882533076992","What crazy testimony today! Casey's mom says one thing & her son says the opposite! Someone is lying here!",-2,"Kris"
6911,NA,NA,NA,NA,NA
6912,NA,NA,NA,NA,NA
6913,"6/28/2011","/KimKardashian/status/85592655656001536","We were on fire tonight!!! U have to come next time! RT @KrisHumphries: I will some time, I'm just mad that I've never seen you in action",-1,"Kris"
6914,"6/28/2011","/KimKardashian/status/85591003318337537","Oh Henry, I luv u & miss u #HenryTheGiraffe RT @HenryKardash: Henry K fact: i love jamming out to j cole & my aunt's @KimKardashian song Jam",-1,"Kim"
6915,NA,NA,NA,NA,NA
6916,"6/27/2011","/KimKardashian/status/85564344385028098","Stop being noisy! RT @KourtneyKardash Listening to my sister @KimKardashian talking on the phone and cracking up! She makes me laugh so hard",-2,"Kourtney"
6916,"6/27/2011","/KimKardashian/status/85564344385028098","Stop being noisy! RT @KourtneyKardash Listening to my sister @KimKardashian talking on the phone and cracking up! She makes me laugh so hard",-2,"Kim"
6917,"6/27/2011","/KimKardashian/status/85530160673206272","Got tips from YOU, the QVC King! LOL RT @kenpaves: @KourtneyKardash @KimKardashian Looking good on @QVC girls!!!!",1,"Kourtney"
6917,"6/27/2011","/KimKardashian/status/85530160673206272","Got tips from YOU, the QVC King! LOL RT @kenpaves: @KourtneyKardash @KimKardashian Looking good on @QVC girls!!!!",1,"Kim"
6918,"6/27/2011","/KimKardashian/status/85478673079214080","Hi Philly! Heading to QVC selling K-Dash tonight live with @KourtneyKardash. We have the cuttest stuff this season!",0,"Kourtney"
6919,NA,NA,NA,NA,NA
6920,"6/27/2011","/KimKardashian/status/85336475838849024","Everyone wish my sis @KhloeKardashian a very Happy Birthday!",1,"Khloe"
6921,"6/26/2011","/KimKardashian/status/85208255332220928","HAPPY BIRTHDAY @KhloeKardashian Its past midnight here on the east coast! I love you!!!",2,"Khloe"
6922,NA,NA,NA,NA,NA
6923,NA,NA,NA,NA,NA
6924,NA,NA,NA,NA,NA
6925,NA,NA,NA,NA,NA
6926,"6/26/2011","/KimKardashian/status/85035278049361920","Ummm FALSE! This is ridiculous! #QuickTrim RT @KimKFanNet: Report: Kim Kardashian’s ice cube diet http://bit.ly/mjfz4j",-2,"Kim"
6927,"6/26/2011","/KimKardashian/status/85032168459468800","Thanks for motivating me to get up early!  RT @heidiklum: We ran 4 miles today! Thanks for coming @KimKardashian http://tinyurl.com/3qe7hbj ",0,"Kim"
6928,NA,NA,NA,NA,NA
6929,NA,NA,NA,NA,NA
6930,NA,NA,NA,NA,NA
6931,"6/25/2011","/KimKardashian/status/84700078857650176","Hahaha! Extra bright! RT @MonicaRoseStyle: @KimKardashian have a beautiful BRIGHT day!!! LOL can't wait to see pics! Xo",2,"Kim"
6932,NA,NA,NA,NA,NA
6933,NA,NA,NA,NA,NA
6934,NA,NA,NA,NA,NA
6935,NA,NA,NA,NA,NA
6936,"6/24/2011","/KimKardashian/status/84449184673054722","Indeed! RT @JasonBinn: Let's keep our fingers crossed @KimKardashian. they say things are meant 2 happen for a reason & timing is everything",0,"Kim"
6937,NA,NA,NA,NA,NA
6938,NA,NA,NA,NA,NA
6939,NA,NA,NA,NA,NA
6940,NA,NA,NA,NA,NA
6941,NA,NA,NA,NA,NA
6942,NA,NA,NA,NA,NA
6943,NA,NA,NA,NA,NA
6944,"6/23/2011","/KimKardashian/status/84046163099123712","Yummmmy! @KourtneyKardash I just had nuts 4 nuts! The food trucks are so yummy!",0,"Kourtney"
6945,NA,NA,NA,NA,NA
6946,NA,NA,NA,NA,NA
6947,NA,NA,NA,NA,NA
6948,NA,NA,NA,NA,NA
6949,NA,NA,NA,NA,NA
6950,NA,NA,NA,NA,NA
6951,NA,NA,NA,NA,NA
6952,NA,NA,NA,NA,NA
6953,NA,NA,NA,NA,NA
6954,NA,NA,NA,NA,NA
6955,NA,NA,NA,NA,NA
6956,NA,NA,NA,NA,NA
6957,"6/21/2011","/KimKardashian/status/83222715640717312","Kendall and Kim Take NY!!! http://bit.ly/k2fQmy ",0,"Kendall"
6957,"6/21/2011","/KimKardashian/status/83222715640717312","Kendall and Kim Take NY!!! http://bit.ly/k2fQmy ",0,"Kim"
6958,NA,NA,NA,NA,NA
6959,"6/21/2011","/KimKardashian/status/83043747222396929","I'm a slave for you... @KrisHumphries",-1,"Kris"
6960,NA,NA,NA,NA,NA
6961,"6/20/2011","/KimKardashian/status/82997532023726080","On my way to see @britneyspears & @NICKIMINAJ with @KendallJenner @KylieJenner @robinantinpcd!!!!!! Who else is going???",0,"Kim"
6961,"6/20/2011","/KimKardashian/status/82997532023726080","On my way to see @britneyspears & @NICKIMINAJ with @KendallJenner @KylieJenner @robinantinpcd!!!!!! Who else is going???",0,"Kylie"
6961,"6/20/2011","/KimKardashian/status/82997532023726080","On my way to see @britneyspears & @NICKIMINAJ with @KendallJenner @KylieJenner @robinantinpcd!!!!!! Who else is going???",0,"Kendall"
6962,NA,NA,NA,NA,NA
6963,"6/20/2011","/KimKardashian/status/82945697321713665","Can't wait to see @britneyspears & @NICKIMINAJ tonight!!!! Woooowhoooo!!!!",0,"Kim"
6964,NA,NA,NA,NA,NA
6965,"6/20/2011","/KimKardashian/status/82892496513929217","Kourt and Mase are matching in plaid!! http://bit.ly/k0zLd3 ",0,"Kourtney"
6966,NA,NA,NA,NA,NA
6967,NA,NA,NA,NA,NA
6968,NA,NA,NA,NA,NA
6969,"6/19/2011","/KimKardashian/status/82648451376103424","Kourtney is a little liar! Lying about a key! LOL",-2,"Kourtney"
6970,"6/19/2011","/KimKardashian/status/82641621946081280","I am a momager in training! LOL RT @KhloeKardashian: Kim is so pushy!!! LOL Stop pushing this girl!!! KUWTK6",0,"Kim"
6970,"6/19/2011","/KimKardashian/status/82641621946081280","I am a momager in training! LOL RT @KhloeKardashian: Kim is so pushy!!! LOL Stop pushing this girl!!! KUWTK6",0,"Kris"
6970,"6/19/2011","/KimKardashian/status/82641621946081280","I am a momager in training! LOL RT @KhloeKardashian: Kim is so pushy!!! LOL Stop pushing this girl!!! KUWTK6",0,"Khloe"
6971,NA,NA,NA,NA,NA
6972,NA,NA,NA,NA,NA
6973,NA,NA,NA,NA,NA
6974,NA,NA,NA,NA,NA
6975,NA,NA,NA,NA,NA
6976,NA,NA,NA,NA,NA
6977,NA,NA,NA,NA,NA
6978,NA,NA,NA,NA,NA
6979,"6/18/2011","/KimKardashian/status/81997235100983296","Let the fun begin! RT @NickSaglimbeni: Rolling with my girl @KimKardashian at @KhloeKardashian's birthday! http://twitpic.com/5d65oj",1,"Kim"
6979,"6/18/2011","/KimKardashian/status/81997235100983296","Let the fun begin! RT @NickSaglimbeni: Rolling with my girl @KimKardashian at @KhloeKardashian's birthday! http://twitpic.com/5d65oj",1,"Khloe"
6980,"6/18/2011","/KimKardashian/status/81981693455630336","What's up Vegas!!!! We are celebrating @KhloeKardashian's bday! Sugar Factory is delish!",0,"Khloe"
6981,"6/17/2011","/KimKardashian/status/81825282507546625","Heading to Vegas... @KrisHumphries @KhloeKardashian @RealLamarOdom @RobKardashian @jOYCEBONELLi @ForeverMalika @lala #LEGGO! LOL",0,"Khloe"
6981,"6/17/2011","/KimKardashian/status/81825282507546625","Heading to Vegas... @KrisHumphries @KhloeKardashian @RealLamarOdom @RobKardashian @jOYCEBONELLi @ForeverMalika @lala #LEGGO! LOL",0,"Kris"
6982,NA,NA,NA,NA,NA
6983,NA,NA,NA,NA,NA
